City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,lompoc,34.6391,-120.4579,63.59,36,100,8.99,US,1676585754
140,patacamaya,-17.2333,-67.9167,63.46,32,70,3.06,BO,1676585754
141,machali,-34.1833,-70.6667,81.68,32,20,14.97,CL,1676585754
142,saint-denis,48.9167,2.3333,53.76,85,100,12.66,FR,1676585755
143,srednekolymsk,67.45,153.6833,-37.01,100,98,3.29,RU,1676585755
144,east london,-33.0153,27.9116,72.3,86,85,9.6,ZA,1676585756
145,margate,51.3813,1.3862,49.87,90,100,5.99,GB,1676585757
146,farafangana,-22.8167,47.8333,75.04,91,77,3.8,MG,1676585758
147,rafaela,-31.2503,-61.4867,74.98,41,100,14.0,AR,1676585758
148,carnarvon,-24.8667,113.6333,71.73,70,0,19.44,AU,1676585758
149,saint-louis,16.3333,-15.0,83.17,17,3,12.64,SN,1676585759
150,ibra,22.6906,58.5334,68.25,23,65,2.71,OM,1676585759
151,manati,18.4275,-66.4921,79.72,86,10,16.91,PR,1676585760
152,luderitz,-26.6481,15.1594,62.8,95,1,10.13,NA,1676585760
153,nueva concepcion,14.2,-91.3,88.61,42,2,13.18,GT,1676585760
154,puerto rondon,6.2805,-71.1,88.66,43,96,6.87,CO,1676585761
155,aksarka,66.5606,67.7975,22.37,80,100,17.74,RU,1676585761
156,toora-khem,52.4675,96.11,-12.55,100,100,1.88,RU,1676585762
157,amapa,1.0,-52.0,72.73,98,95,3.24,BR,1676585762
158,milove,49.3787,40.1302,12.43,97,100,5.46,UA,1676585763
159,poya,-21.35,165.15,77.54,63,0,6.71,NC,1676585763
160,mulege,26.8833,-111.9833,60.49,31,3,17.52,MX,1676585763
161,dillon,34.4166,-79.3712,76.98,70,96,8.03,US,1676585764
162,areka,7.0667,37.7,63.81,49,81,8.28,ET,1676585764
163,chokurdakh,70.6333,147.9167,-38.11,100,92,4.52,RU,1676585765
164,havre-saint-pierre,50.2334,-63.5986,33.8,80,0,28.77,CA,1676585765
165,port blair,11.6667,92.75,78.85,77,12,10.18,IN,1676585766
166,sorland,67.667,12.6934,37.26,57,100,4.03,NO,1676585766
167,andenes,69.3143,16.1194,37.38,60,75,10.36,NO,1676585767
168,riyadh,24.6877,46.7219,51.94,40,0,11.21,SA,1676585767
169,carora,10.1755,-70.0827,81.82,50,49,18.7,VE,1676585768
170,torbay,47.6666,-52.7314,35.28,95,100,27.63,CA,1676585768
171,severo-kurilsk,50.6789,156.125,25.65,68,98,26.69,RU,1676585769
172,cayenne,4.9333,-52.3333,78.84,83,40,8.05,GF,1676585769
173,nanortalik,60.1432,-45.2371,19.36,83,68,6.22,GL,1676585770
174,san patricio,28.017,-97.5169,60.75,40,100,20.54,US,1676585771
175,pacific grove,36.6177,-121.9166,58.39,49,0,8.01,US,1676585771
176,havoysund,70.9963,24.6622,35.83,82,100,7.74,NO,1676585772
177,ribeira grande,38.5167,-28.7,60.78,77,98,17.0,PT,1676585772
178,ilulissat,69.2167,-51.1,-2.18,78,100,2.3,GL,1676585628
179,kavieng,-2.5744,150.7967,81.3,78,99,8.81,PG,1676585773
180,doha,25.2867,51.5333,64.38,59,0,12.66,QA,1676585672
181,iqaluit,63.7506,-68.5145,-27.67,75,40,4.61,CA,1676585773
182,kodiak,57.79,-152.4072,29.71,59,75,4.61,US,1676585774
183,mbini,1.574,9.6134,79.9,81,97,6.69,GQ,1676585774
184,ahuimanu,21.4447,-157.8378,80.31,75,75,8.05,US,1676585775
185,madang,-5.2246,145.7966,77.25,87,100,1.77,PG,1676585775
186,ko samui,9.5357,99.9357,80.98,73,42,16.33,TH,1676585628
187,santa rosa de aguan,15.95,-85.7167,84.22,68,0,25.64,HN,1676585776
188,salalah,17.0151,54.0924,71.69,68,20,4.61,OM,1676585776
189,faanui,-16.4833,-151.75,82.0,72,21,10.16,PF,1676585777
190,haines junction,60.7522,-137.5108,15.75,67,98,2.3,CA,1676585777
191,sakaraha,-22.9,44.5333,70.12,88,96,1.99,MG,1676585778
192,vaasa,63.096,21.6158,33.82,100,100,9.22,FI,1676585778
193,itarema,-2.9248,-39.9167,77.97,80,100,7.76,BR,1676585780
194,gunjur,13.2019,-16.7339,68.34,77,3,14.54,GM,1676585781
195,ostrovnoy,68.0531,39.5131,25.93,86,98,28.72,RU,1676585781
196,bethel,41.3712,-73.414,59.83,72,100,1.01,US,1676585656
197,hamilton,39.1834,-84.5333,60.06,92,100,12.66,US,1676585756
198,harper,4.375,-7.7169,80.04,82,17,7.67,LR,1676585782
199,kemijarvi,66.7131,27.4306,30.85,94,100,11.39,FI,1676585782
200,fredonia,42.4401,-79.3317,49.87,81,75,10.36,US,1676585783
201,gazojak,41.1875,61.4036,42.33,68,100,6.17,TM,1676585783
