City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,dikson,73.5069,80.5464,-12.21,100,88,7.47,RU,1676583657
126,kuybysheve,47.358,36.6491,22.33,79,62,5.14,UA,1676584190
127,avera,33.194,-82.5271,76.51,60,75,11.07,US,1676583633
128,faanui,-16.4833,-151.75,82.0,72,21,10.16,PF,1676583711
129,waipawa,-41.4122,175.5153,56.91,85,100,14.38,NZ,1676584190
130,hithadhoo,-0.6,73.0833,80.92,73,64,12.53,MV,1676583632
131,storsteinnes,69.2408,19.2344,34.38,98,100,4.27,NO,1676584191
132,torbay,47.6666,-52.7314,34.29,95,100,27.63,CA,1676583746
133,tonantins,-2.8731,-67.8022,79.11,86,94,3.2,BR,1676584191
134,chara,56.9064,118.2631,-5.6,85,100,1.5,RU,1676584191
135,qaanaaq,77.484,-69.3632,-14.53,61,77,8.08,GL,1676583645
136,hamilton,39.1834,-84.5333,60.42,91,75,13.8,US,1676583667
137,mindelo,16.8901,-24.9804,69.35,60,40,20.71,CV,1676584192
138,ternate,0.8,127.4,79.68,78,90,7.11,ID,1676584192
139,jacareacanga,-6.2222,-57.7528,76.17,96,100,2.8,BR,1676584193
140,klaksvik,62.2266,-6.589,38.32,65,99,10.89,FO,1676583626
141,sisimiut,66.9395,-53.6735,-1.82,97,100,4.27,GL,1676583688
142,alvaro obregon,19.3733,-99.225,80.96,9,0,13.8,MX,1676584118
143,san cristobal,7.7669,-72.225,68.18,85,86,1.66,VE,1676583698
144,ascension,30.2169,-90.9001,78.01,83,100,14.97,US,1676584193
145,kavaratti,10.5669,72.642,78.87,74,73,3.53,IN,1676583706
146,pisco,-13.7,-76.2167,80.65,69,20,11.5,PE,1676583642
147,kavieng,-2.5744,150.7967,81.3,78,99,8.81,PG,1676583768
148,touros,-5.1989,-35.4608,80.92,76,100,13.18,BR,1676583466
149,alyangula,-13.8483,136.4192,84.22,74,76,8.63,AU,1676584194
150,samfya,-11.3649,29.5565,67.15,86,100,5.59,ZM,1676584195
151,yamada,39.4667,141.95,27.79,84,19,4.34,JP,1676584195
152,port hedland,-20.3167,118.5667,86.05,79,4,9.22,AU,1676583724
153,saint-philippe,-21.3585,55.7679,72.99,78,24,3.15,RE,1676583668
154,marsh harbour,26.5412,-77.0636,75.51,70,62,15.61,BS,1676584196
155,mogadishu,2.0371,45.3438,77.11,85,100,19.66,SO,1676584111
156,sorland,67.667,12.6934,37.26,57,100,4.03,NO,1676584196
157,oparino,59.8518,48.2783,-7.29,100,100,2.64,RU,1676584196
158,svetlogorsk,52.6333,29.7333,27.81,94,100,7.4,BY,1676583719
159,carnarvon,-24.8667,113.6333,71.73,70,0,19.44,AU,1676584197
160,avarua,-21.2078,-159.775,84.25,74,77,5.75,CK,1676584197
161,marrakesh,31.6315,-8.0083,59.07,55,75,12.66,MA,1676584197
162,coihaique,-45.5752,-72.0662,62.55,31,40,4.61,CL,1676584064
163,yibin,28.7667,104.6238,48.76,77,78,1.01,CN,1676584198
164,souillac,-20.5167,57.5167,71.98,83,20,3.44,MU,1676583727
165,henties bay,-22.116,14.2845,64.42,87,9,8.12,NA,1676584199
166,shubarkuduk,49.1447,56.4872,18.21,95,100,12.73,KZ,1676584199
167,labuan,5.2767,115.2417,79.16,89,20,0.0,MY,1676584199
168,atkinson,42.8384,-71.147,60.03,52,0,6.91,US,1676584016
169,lazaro cardenas,17.9583,-102.2,82.83,50,0,11.21,MX,1676583773
170,quelimane,-17.8786,36.8883,80.55,89,20,3.44,MZ,1676583666
171,cherskiy,68.75,161.3,-48.5,100,100,3.69,RU,1676583607
172,santa marta,11.2408,-74.199,93.25,46,20,17.27,CO,1676584200
173,xuddur,4.1213,43.8894,72.59,60,91,16.78,SO,1676583712
174,kannangad,12.3081,75.1063,71.83,73,44,4.25,IN,1676584201
175,mayo,38.8876,-76.5119,60.67,92,100,3.44,US,1676583614
176,yellowknife,62.456,-114.3525,-12.48,77,100,13.8,CA,1676583545
177,caravelas,-17.7125,-39.2481,78.85,80,100,7.38,BR,1676584201
